pdf_url,year,num_pages,title,journal,authors,vol,issue,ID,fg_count,tb_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297734_wo_cover.pdf',1985,12,Immobility; Rationing and Price Competition,Review of Economic Studies,Michael Peters,52,4.0,2297734,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296898_wo_cover.pdf',1977,14,The Noisy Monopolist: Imperfect Information; Price Dispersion and Price Discrimination,Review of Economic Studies,Steven Salop,44,3.0,2296898,5,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296880_wo_cover.pdf',1981,18,Toward a Theory of Competitive Price Adjustment,Review of Economic Studies,Benjamin Eden,48,2.0,2296880,7,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297735_wo_cover.pdf',1985,21,The Capital Inflows Problem Revisited: A Stylized Model of Southern Cone Disinflation,Review of Economic Studies,Maurice Obstfeld,52,4.0,2297735,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296899_wo_cover.pdf',1977,24,Monopoly; Non-Linear Pricing and Imperfect Information: The Insurance Market,Review of Economic Studies,Joseph E. Stiglitz,44,3.0,2296899,16,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297736_wo_cover.pdf',1985,19,Oil Price Shocks; Unemployment; Investment and the Current Account: An Intertemporal Disequilibrium Analysis,Review of Economic Studies,Sweder Van Wijnbergen,52,4.0,2297736,6,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296881_wo_cover.pdf',1981,18,The Self-Regulating Profession,Review of Economic Studies,Avner Shaked and John Sutton,48,2.0,2296881,5,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296900_wo_cover.pdf',1977,19,The Existence of Futures Markets; Noisy Rational Expectations and Informational Externalities,Review of Economic Studies,Sanford J. Grossman,44,3.0,2296900,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297737_wo_cover.pdf',1985,17,Incentive-Compatible Debt Contracts: The One-Period Problem,Review of Economic Studies,Douglas Gale and Martin Hellwig,52,4.0,2297737,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296901_wo_cover.pdf',1977,13,The Non-Existence of Informational Equilibria,Review of Economic Studies,Jerry Green,44,3.0,2296901,5,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296882_wo_cover.pdf',1981,19,Non-Convexities in Continuous-Time Investment Theory,Review of Economic Studies,Russell Davidson and Richard Harris,48,2.0,2296882,10,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297738_wo_cover.pdf',1985,15,Taxes; Investment and Q,Review of Economic Studies,J. S. S. Edwards and M. J. Keen,52,4.0,2297738,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296883_wo_cover.pdf',1981,16,Estimating Input Demand Equations by Direct and Indirect Methods,Review of Economic Studies,H. R. Wills,48,2.0,2296883,0,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296902_wo_cover.pdf',1977,27,Equilibrium Distributions of Sales and Advertising Prices,Review of Economic Studies,Gerard R. Butters,44,3.0,2296902,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297739_wo_cover.pdf',1985,10,Testing the Error Components Model with Non-Normal Disturbances,Review of Economic Studies,Yuzo Honda,52,4.0,2297739,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296884_wo_cover.pdf',1981,10,Constant; Increasing and Decreasing Risk Aversion with Many Commodities,Review of Economic Studies,Richard E. Kihlstrom and Leonard J. Mirman,48,2.0,2296884,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297740_wo_cover.pdf',1985,12,Efficiency of Sliding Plans in a Linear Model with Time-Dependent Technology,Review of Economic Studies,Mikhail Kaganovich,52,4.0,2297740,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296885_wo_cover.pdf',1981,7,Growth with Exhaustible Resources and Endogenous Population,Review of Economic Studies,Alessandro Cigno,48,2.0,2296885,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296903_wo_cover.pdf',1977,18,Bargains and Ripoffs: A Model of Monopolistically Competitive Price Dispersion,Review of Economic Studies,Steven Salop and Joseph Stiglitz,44,3.0,2296903,11,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297741_wo_cover.pdf',1985,11,Uniqueness of Non-Walrasian Equilibrium in the Macroeconomic Model with Decreasing or Increasing Returns,Review of Economic Studies,Paul Madden,52,4.0,2297741,6,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296886_wo_cover.pdf',1981,21,Debt with Potential Repudiation: Theoretical and Empirical Analysis,Review of Economic Studies,Jonathan Eaton and Mark Gersovitz,48,2.0,2296886,1,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296904_wo_cover.pdf',1977,8,A Bidding Model of Perfect Competition,Review of Economic Studies,Robert Wilson,44,3.0,2296904,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297743_wo_cover.pdf',1985,5,Adverse Selection; Repeated Insurance Contracts and Annoucement Strategy,Review of Economic Studies,Georges Dionne and Pierre Lasserre,52,4.0,2297743,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296905_wo_cover.pdf',1977,13,The Value of Information for Crop Forecasting in a Market System: Some Theoretical Issues,Review of Economic Studies,David F. Bradford and Harry H. Kelejian,44,3.0,2296905,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296887_wo_cover.pdf',1981,6,Corporate Tax Policy and the Service Life of Capital Equipment,Review of Economic Studies,James M. Malcomson,48,2.0,2296887,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297658_wo_cover.pdf',1985,11,Rational Expectations Equilibrium with Econometric Models,Review of Economic Studies,Robert M. Anderson and Hugo Sonnenschein,52,3.0,2297658,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296906_wo_cover.pdf',1977,15,A Bayesian Approach to the Production of Information and Learning by Doing,Review of Economic Studies,Sanford J. Grossman; Richard E. Kihlstrom and Leonard J. Mirman,44,3.0,2296906,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297659_wo_cover.pdf',1985,12,Price Setting Supergames with Capacity Constraints,Review of Economic Studies,William A. Brock and José A. Scheinkman,52,3.0,2297659,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296888_wo_cover.pdf',1981,9,The Price Effects of Spatial Competition,Review of Economic Studies,H. Ohta,48,2.0,2296888,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296907_wo_cover.pdf',1977,12,Guarantees and Risk-Sharing,Review of Economic Studies,Geoffrey Heal,44,3.0,2296907,3,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297660_wo_cover.pdf',1985,19,Preemption and Rent Equalization in the Adoption of New Technology,Review of Economic Studies,Drew Fudenberg and Jean Tirole,52,3.0,2297660,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296889_wo_cover.pdf',1981,16,Import Substitution Policies: A Two-Sector; Fix-Price Model,Review of Economic Studies,John T. Cuddington,48,2.0,2296889,1,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296908_wo_cover.pdf',1977,12,Consumer Misperceptions; Product Failure and Producer Liability,Review of Economic Studies,Michael Spence,44,3.0,2296908,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297661_wo_cover.pdf',1985,23,Managerial Incentives; Investment and Aggregate Implications: Scale Effects,Review of Economic Studies,Bengt Holmstrom and Laurence Weiss,52,3.0,2297661,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296890_wo_cover.pdf',1981,7,Social Decision Functions and Strongly Decisive Sets,Review of Economic Studies,Edward W. Packel,48,2.0,2296890,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296909_wo_cover.pdf',1977,11,On the Choice of Numeraire and Certainty Price in General Equilibrium Models of Price Uncertainty,Review of Economic Studies,John S. Flemming; Stephen J. Turnovsky and Murray C. Kemp,44,3.0,2296909,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297662_wo_cover.pdf',1985,16,Implicit Contracts with Asymmetric Information and Bankruptcy: The Effect of Interest Rates on Layoffs,Review of Economic Studies,Roger E. A. Farmer,52,3.0,2297662,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296892_wo_cover.pdf',1981,7,"A Comment on ""Stable Spillovers among Substitutes""",Review of Economic Studies,G. Laroque,48,2.0,2296892,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297663_wo_cover.pdf',1985,15,Multinational Corporations and Trade Structure,Review of Economic Studies,Elhanan Helpman,52,3.0,2297663,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297117_wo_cover.pdf',1981,17,Market Power in a Non-Malleable City,Review of Economic Studies,Neil Vousden,48,1.0,2297117,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296910_wo_cover.pdf',1977,10,Risk Sharing; Sharecropping and Uncertain Labour Markets,Review of Economic Studies,David M. G. Newbery,44,3.0,2296910,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297664_wo_cover.pdf',1985,13,Bankruptcies in Temporary Equilibrium Forward Markets With and Without Institutional Restrictions,Review of Economic Studies,Dale O. Stahl; II,52,3.0,2297664,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296911_wo_cover.pdf',1977,7,To Tell the Truth: Imperfect Information and Optimal Pollution Control,Review of Economic Studies,Evan Kwerel,44,3.0,2296911,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297118_wo_cover.pdf',1981,16,Linear Aggregation in Neoclassical Labour Supply,Review of Economic Studies,John Muellbauer,48,1.0,2297118,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297665_wo_cover.pdf',1985,13,Selecting the Best Instrumental Variables Estimator,Review of Economic Studies,Michael A. Magdalinos,52,3.0,2297665,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297061_wo_cover.pdf',1977,11,Equity and the Informational Basis of Collective Choice,Review of Economic Studies,Claude D'Aspremont and Louis Gevers,44,2.0,2297061,0,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297119_wo_cover.pdf',1981,13,Jobs as Dam Sites,Review of Economic Studies,George A. Akerlof,48,1.0,2297119,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297062_wo_cover.pdf',1977,15,A Characterization of Societies with Consistent Majority Decision,Review of Economic Studies,Steven Slutsky,44,2.0,2297062,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297666_wo_cover.pdf',1985,18,Equilibrium Price Distributions,Review of Economic Studies,Rafael Rob,52,3.0,2297666,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297120_wo_cover.pdf',1981,11,Existence and Characterization of Optimal Growth Paths Including Models with Non-Convexities in Utilities and Technologies,Review of Economic Studies,Graciela Chichilnisky,48,1.0,2297120,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297063_wo_cover.pdf',1977,7,Expected Plurality Voting Equilibrium and Social Choice Functions,Review of Economic Studies,Arthur T. Denzau and Amoz Kats,44,2.0,2297063,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297121_wo_cover.pdf',1981,18,The Elasticity of Derived Net Supply and a Generalized Le Chatelier Principle,Review of Economic Studies,W. E. Diewert,48,1.0,2297121,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297667_wo_cover.pdf',1985,9,Rawls' Maximin Criterion and Time-Consistency: Further Results,Review of Economic Studies,Wolfgang Leininger,52,3.0,2297667,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297064_wo_cover.pdf',1977,13,A Game of Fair Division,Review of Economic Studies,Vincent P. Crawford,44,2.0,2297064,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297122_wo_cover.pdf',1981,15,Duality Theory and Functional Forms for Dynamic Factor Demands,Review of Economic Studies,Larry G. Epstein,48,1.0,2297122,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297668_wo_cover.pdf',1985,10,Labour Supply in a Two-Period Model: The Effect of a Nonlinear Progressive Income Tax,Review of Economic Studies,N. Sören Blomquist,52,3.0,2297668,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297123_wo_cover.pdf',1981,15,Spatial Competition and Spatial Price Discrimination,Review of Economic Studies,George Norman,48,1.0,2297123,10,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297065_wo_cover.pdf',1977,15,Uncertainty and Lags in the Investment Decisions of Firms,Review of Economic Studies,Stephen Nickell,44,2.0,2297065,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297615_wo_cover.pdf',1985,19,Planning under Incomplete Information and the Ratchet Effect,Review of Economic Studies,Xavier Freixas; Roger Guesnerie and Jean Tirole,52,2.0,2297615,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297124_wo_cover.pdf',1981,17,On the Local Uniqueness of the Fixed Price Equilibria,Review of Economic Studies,Guy Laroque,48,1.0,2297124,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297616_wo_cover.pdf',1985,17,Perfect Equilibrium in a Model of a Race,Review of Economic Studies,Christopher Harris and John Vickers,52,2.0,2297616,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297066_wo_cover.pdf',1977,21,Business Strategies in Inflationary Economies,Review of Economic Studies,Jacques F. Lesourne and Raymond Leban,44,2.0,2297066,12,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297067_wo_cover.pdf',1977,17,Inflation and Costs of Price Adjustment,Review of Economic Studies,Eytan Sheshinski and Yoram Weiss,44,2.0,2297067,2,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297617_wo_cover.pdf',1985,11,Rational Expectations and Policy Credibility Following a Change in Regime,Review of Economic Studies,David Backus and John Driffill,52,2.0,2297617,2,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297068_wo_cover.pdf',1977,16,Aggregate Production Functions: Some CES Experiments,Review of Economic Studies,Franklin M. Fisher; Robert M. Solow and James M. Kearl,44,2.0,2297068,3,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297125_wo_cover.pdf',1981,7,Transaction Costs; Uncertainty and Generally Inactive Futures Markets,Review of Economic Studies,H. M. Shefrin,48,1.0,2297125,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297618_wo_cover.pdf',1985,7,Implementation in Dominant Strategies under Complete and Incomplete Information,Review of Economic Studies,Rafael Repullo,52,2.0,2297618,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297069_wo_cover.pdf',1977,7,Some Dynamic and Comparative Static Properties of a Spatial Model of Production,Review of Economic Studies,Takahiro Miyao,44,2.0,2297069,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297619_wo_cover.pdf',1985,20,Econometric Modelling of the Sterling Effective Exchange Rate,Review of Economic Studies,James E. H. Davidson,52,2.0,2297619,5,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297126_wo_cover.pdf',1981,7,A Combinatorial Analysis of the Overlapping Generations Model,Review of Economic Studies,Stephen A. Clark,48,1.0,2297126,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297070_wo_cover.pdf',1977,8,Turnpike Properties for the Optimal Use of a Natural Resource,Review of Economic Studies,A. Haurie and N. M. Hung,44,2.0,2297070,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297071_wo_cover.pdf',1977,10,A Rawlsian Intertemporal Consumption Rule,Review of Economic Studies,Paul Grout,44,2.0,2297071,3,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297620_wo_cover.pdf',1985,12,Product Quality and Imperfect Information,Review of Economic Studies,Alan Schwartz and Louis L. Wilde,52,2.0,2297620,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297127_wo_cover.pdf',1981,12,The Morishima Elasticity of Substitution; Symmetry; Constancy; Separability; and its Relationship to the Hicks and Allen Elasticities,Review of Economic Studies,Charles Blackorby and R. Robert Russell,48,1.0,2297127,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297072_wo_cover.pdf',1977,15,Devaluation; the Specie Flow Mechanism and the Steady State,Review of Economic Studies,Richard K. Anderson and Akira Takayama,44,2.0,2297072,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297621_wo_cover.pdf',1985,20,Some Theoretical Results on the Economics of Forestry,Review of Economic Studies,Tapan Mitra and Henry Y. Wan; Jr.,52,2.0,2297621,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297073_wo_cover.pdf',1977,6,Gains from Diversification,Review of Economic Studies,Josef Hadar; William R. Russell and Tae Kun Seo,44,2.0,2297073,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297128_wo_cover.pdf',1981,8,Recovering Cardinal Utility,Review of Economic Studies,Philip Dybvig and Heraklis Polemarchakis,48,1.0,2297128,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297622_wo_cover.pdf',1985,11,Inventories; Stock-Outs and Production Smoothing,Review of Economic Studies,Andrew B. Abel,52,2.0,2297622,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297074_wo_cover.pdf',1977,11,Portfolio Theory; Asset Demand and Taxation: Comparative Statics with Many Assets,Review of Economic Studies,Agnar Sandmo,44,2.0,2297074,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297623_wo_cover.pdf',1985,16,On the Economic Interpretation and Measurement of Optimal Capacity Utilization with Anticipatory Expectations,Review of Economic Studies,Catherine J. Morrison,52,2.0,2297623,4,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297129_wo_cover.pdf',1981,5,On Uniqueness of General Equilibrium,Review of Economic Studies,Jun Iritani,48,1.0,2297129,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296969_wo_cover.pdf',1977,21,A Theory of Piecemeal Policy Recommendations,Review of Economic Studies,Tatsuo Hatta,44,1.0,2296969,7,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297130_wo_cover.pdf',1981,6,Heterogeneous Labour and the Fundamental Marxian Theorem,Review of Economic Studies,Ulrich Krause,48,1.0,2297130,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297624_wo_cover.pdf',1985,19,Capital Utilization and Factor Specificity,Review of Economic Studies,Roger Betancourt; Christopher Clague and Arvind Panagariya,52,2.0,2297624,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296970_wo_cover.pdf',1977,7,Price Distortion and the Second Best Optimum,Review of Economic Studies,Kunio Kawamata,44,1.0,2296970,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297625_wo_cover.pdf',1985,15,Capital Accumulation and Foreign Investment Taxation,Review of Economic Studies,Anne C. Sibert,52,2.0,2297625,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296971_wo_cover.pdf',1977,11,A Model of Short-Term Capital Movements; the Foreign Exchange Market and Official Intervention in the UK; 1963-1970,Review of Economic Studies,John P. Hutton,44,1.0,2296971,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297131_wo_cover.pdf',1981,5,On Sums of Production Set Frontiers,Review of Economic Studies,John A. Weymark,48,1.0,2297131,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296972_wo_cover.pdf',1977,15,A Variable-Parameter Model of Exporting Behaviour,Review of Economic Studies,R. A. Batchelor,44,1.0,2296972,4,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296915_wo_cover.pdf',1980,21,Multi-Product Quantity-Dependent Prices and Profitability Constraints,Review of Economic Studies,A. Michael Spence,47,5.0,2296915,3,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297626_wo_cover.pdf',1985,6,A Note on Decomposable Inequality Measures,Review of Economic Studies,R. Robert Russell,52,2.0,2297626,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296973_wo_cover.pdf',1977,11,Reserve Stocks as External Targets and the Stability of Alternative Exchange Rate Systems,Review of Economic Studies,Jay H. Levin,44,1.0,2296973,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296916_wo_cover.pdf',1980,14,A Possible Procedure for Analysing Quality Differentials in the Egg Market,Review of Economic Studies,W. M. Gorman,47,5.0,2296916,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297627_wo_cover.pdf',1985,5,The Zero Root Problem: A Note on the Dynamic Determination of the Stationary Equilibrium in Linear Models,Review of Economic Studies,Francesco Giavazzi and Charles Wyplosz,52,2.0,2297627,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296974_wo_cover.pdf',1977,23,The Static Economic Effects of the UK Joining the EEC: A General Equilibrium Approach,Review of Economic Studies,Marcus H. Miller and John E. Spencer,44,1.0,2296974,2,16
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296918_wo_cover.pdf',1980,13,On Testing Theories of Financial Intermediary Portfolio Selection,Review of Economic Studies,Ernst R. Berndt; Thomas H. McCurdy and David E. Rose,47,5.0,2296918,0,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297467_wo_cover.pdf',1985,18,A Unified Approach to Incorporating Demographic or Other Effects into Demand Systems,Review of Economic Studies,Arthur Lewbel,52,1.0,2297467,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296975_wo_cover.pdf',1977,15,Optimal Control and Stabilization Policy: An Application to the Coffee Economy,Review of Economic Studies,Alan H. Gelb,44,1.0,2296975,2,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296919_wo_cover.pdf',1980,18,Disaggregated Demand Analysis: The Estimation of a Class of Non-Linear Demand Systems,Review of Economic Studies,S. E. Pudney,47,5.0,2296919,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297468_wo_cover.pdf',1985,17,Distributed Lags; Aggregation and Compounding: Some Econometric Implications,Review of Economic Studies,P. K. Trivedi,52,1.0,2297468,2,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296976_wo_cover.pdf',1977,13,Optimal Time Paths with Age-Dependence: A Theory of Population Policy,Review of Economic Studies,W. Brian Arthur and Geoffrey McNicoll,44,1.0,2296976,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297469_wo_cover.pdf',1985,31,Optimal Labour Contracts when Workers have a Variety of Privately Observed Reservation Wages,Review of Economic Studies,John Moore,52,1.0,2297469,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296977_wo_cover.pdf',1977,17,Economics of Depletable Resources: Market Forces and Intertemporal Bias,Review of Economic Studies,James L. Sweeney,44,1.0,2296977,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296920_wo_cover.pdf',1980,14,Evidence on the Impact of Income Distribution on Consumer Demand in the UK 1955-68,Review of Economic Studies,P. Simmons,47,5.0,2296920,0,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297470_wo_cover.pdf',1985,15,Uncertainty Resolution; Private Information Aggregation and the Cournot Competitive Limit,Review of Economic Studies,Thomas R. Palfrey,52,1.0,2297470,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296978_wo_cover.pdf',1977,9,Dual Stability in a Cambridge-Type Model,Review of Economic Studies,Masahiko Aoki,44,1.0,2296978,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297471_wo_cover.pdf',1985,14,On the Existence of Cournot Equilibrium,Review of Economic Studies,William Novshek,52,1.0,2297471,3,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296921_wo_cover.pdf',1980,20,Direct and Indirect Trade Utility Functions,Review of Economic Studies,A. D. Woodland,47,5.0,2296921,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297472_wo_cover.pdf',1985,8,Innovation and Imitation in a Duopoly,Review of Economic Studies,Jean-Pierre Benoit,52,1.0,2297472,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297473_wo_cover.pdf',1985,14,Equilibrium with Product Differentiation,Review of Economic Studies,Jeffrey M. Perloff and Steven C. Salop,52,1.0,2297473,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296922_wo_cover.pdf',1980,6,The Optimal Policies for Restricting Trade under Uncertainty,Review of Economic Studies,Leslie Young and James E. Anderson,47,5.0,2296922,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296923_wo_cover.pdf',1980,12,A Neoclassical Model of the Dual Economy with Capital Accumulation in Agriculture,Review of Economic Studies,Masanori Amano,47,5.0,2296923,6,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2296924_wo_cover.pdf',1980,14,On Distribution According to Labour--A Concept of Fairness in Production Economies,Review of Economic Studies,Mikiro Otsuki,47,5.0,2296924,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_wo_cover/2297474_wo_cover.pdf',1985,13,Taxes; Subsidies and Equilibrium Unemployment,Review of Economic Studies,Christopher A. Pissarides,52,1.0,2297474,1,0
